adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/iFQzlUmO5QmMPcSHHDdfd522x33.jpg,"[35, 18]",7857,it,Amarcord,"In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.",14.051,/s6e5B6ty6xjLUjCgephOVjnpFnR.jpg,1973-12-18,Amarcord,False,7.906,1020
False,/lrNKm3HNvGdZoAfiBKu7b04FLHN.jpg,[18],316029,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",34.972,/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg,2017-12-20,The Greatest Showman,False,7.905,8905
False,/4tqNNLAUY525N5rKGwNQVcuGNzX.jpg,"[35, 10749]",194,fr,Le Fabuleux Destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",44.625,/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg,2001-04-25,Amélie,False,7.905,10846
False,/eHTZoXmB4vnDqANZXPZcdAiYQo5.jpg,"[16, 18, 10749, 14]",667520,ja,泣きたい私は猫をかぶる,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",43.272,/6inkRM1XGBG5vRhclCPWfMenp7N.jpg,2020-06-18,A Whisker Away,False,7.904,1263
False,/3gVo3f5We49VKk5BKEIRkxcibwz.jpg,"[18, 80, 36]",522212,en,Just Mercy,"The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them.",18.106,/4YJNp1cquIkX8JxFwkKNEFQ9tgr.jpg,2019-12-25,Just Mercy,False,7.904,2061
False,/nKOQiWjhv6LXXSR3PiIab3LrKtU.jpg,[18],1402,en,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,44.339,/f6l9rghSHORkWLurUGJhaKAiyjY.jpg,2006-12-14,The Pursuit of Happyness,False,7.902,9244
False,/qJeU7KM4nT2C1WpOrwPcSDGFUWE.jpg,"[35, 18, 10749, 10402]",313369,en,La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",46.17,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,2016-11-29,La La Land,False,7.901,15739
False,/uicia399gyMGE1smatJ41M0CtFx.jpg,"[16, 28, 12, 14]",505262,ja,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",33.106,/hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg,2018-08-03,My Hero Academia: Two Heroes,False,7.9,928
False,/hTvCGwbrpSgZ5QCZnYHM12bv7DH.jpg,[35],3034,en,Young Frankenstein,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",20.188,/tQJAWbIjvvqVKLLbIZHtwGw2HTf.jpg,1974-12-15,Young Frankenstein,False,7.9,2914
False,/rzdPqYx7Um4FUZeD8wpXqjAUcEm.jpg,"[18, 10749]",597,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",132.714,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-11-18,Titanic,False,7.9,23864
